Time,Inputshaft_rpm,Propeller_torque,InputShaft_torque,ShipSpeed
23.6400000000059,78.6632788400187,49092.5449001386,17304.9327799967,5
23.6410000000059,78.6664432300089,49116.0075001164,17304.3661399975,5
23.6420000000059,78.6679444299989,49135.6898000925,17303.9380699983,5
23.6430000000059,78.667763989989,49151.3412000675,17303.6546799992,5
23.6440000000059,78.6659041999792,49162.7659000418,17303.5203500001,5
23.6450000000059,78.6623879599697,49169.8260000154,17303.537650001,5
23.6460000000059,78.6572585899605,49172.4328999889,17303.7072700019,5
23.6470000000059,78.6505792299518,49170.5502999624,17304.0280000028,5
23.6480000000059,78.6424321499437,49164.2037999365,17304.4966800036,5
23.6490000000059,78.6329176999363,49153.4780999114,17305.1082300044,5
23.6500000000059,78.6221531199296,49138.5069998873,17305.8556900052,5
23.6510000000059,78.6102711199239,49119.4747998647,17306.7303000059,5
23.6520000000059,78.5974182799191,49096.6227998438,17307.7215600065,5
23.6530000000059,78.5837532799152,49070.2413998247,17308.817380007,5
23.6540000000059,78.5694449299124,49040.6584998079,17310.0042600075,5
23.6550000000059,78.5546701599108,49008.2407997935,17311.2674100078,5
23.6560000000059,78.5396118299101,48973.3959997816,17312.5910100081,5
23.6570000000059,78.5244564899107,48936.5617997725,17313.9583900083,5
23.6580000000059,78.5093920899123,48898.1935997662,17315.3522900083,5
23.6590000000059,78.494605649915,48858.7654997627,17316.7551300083,5
23.6600000000059,78.4802809399188,48818.7705997623,17318.1492200081,5
23.6610000000059,78.4665961799236,48778.7069997648,17319.5170900079,5
23.6620000000059,78.4537218299293,48739.0664997701,17320.8416500075,5
23.6630000000059,78.441818409936,48700.3368997784,17322.1065500071,5
23.6640000000059,78.4310345199434,48663.0004997894,17323.2963300065,5
23.6650000000059,78.4215049099516,48627.5184998028,17324.3966500059,5
23.6660000000059,78.4133487699603,48594.3231998188,17325.3945100052,5
23.6670000000059,78.4066682399696,48563.8216998371,17326.2784000045,5
23.6680000000059,78.4015470299792,48536.3930998572,17327.0384100037,5
23.6690000000059,78.3980494099891,48512.3738998792,17327.6663800029,5
23.6700000000059,78.3962193299992,48492.0538999027,17328.1559200021,5
23.6710000000059,78.3960798700092,48475.6821999273,17328.5024900012,5
